Size	  Bubble Sort	Selection Sort	Insertion Sort
50	113315.79	48982.445	107128.66
100	122749.48	35896.15	310718.03
150	343200.44	130806.47	83147.14
200	548211.3	127120.48	205274.23
250	887139.06	197301.88	248897.12
300	1306467.1	239789.12	354439.2
350	1799506.9	365209.47	423645.6
400	2297659.5	412551.8	741356.5
450	2808178.2	481903.28	774454.75
500	3097042.0	537847.06	1020533.44
550	3701433.5	705317.25	1090681.9
600	4896822.5	912831.75	1448093.0
650	5404534.0	1041473.6	1622328.1
700	5850903.5	934898.5	1688094.2
750	6442485.0	1211960.5	2053015.5
800	7749302.0	1167505.6	2529095.0
850	1.0088504E7	1777069.1	3196477.0
900	1.1408844E7	1815462.2	3739287.2
950	1.2331745E7	2155648.2	3767735.0
1000	1.2659433E7	2020995.4	3702163.0
